timestamp,load_percent
2026-09-05 07:00:01,0
2026-09-05 07:10:01,5
2026-09-05 07:20:01,8
2026-09-05 07:30:01,8
2026-09-05 07:40:01,9
2026-09-05 07:50:01,13
2026-09-05 08:00:02,12
2026-09-05 08:10:01,15
2026-09-05 08:20:01,15
2026-09-05 08:30:01,18
2026-09-05 08:40:01,20
2026-09-05 08:50:01,21
2026-09-05 09:00:01,23
2026-09-05 09:10:01,25
2026-09-05 09:20:01,25
2026-09-05 09:30:01,21
2026-09-05 09:40:02,21
2026-09-05 09:50:01,18
2026-09-05 10:00:01,21
2026-09-05 10:10:01,23
2026-09-05 10:20:01,25
2026-09-05 10:30:01,30
2026-09-05 10:40:01,29
2026-09-05 10:50:01,31
2026-09-05 11:00:01,32
2026-09-05 11:10:02,35
2026-09-05 11:20:01,30
2026-09-05 11:30:01,29
2026-09-05 11:40:01,30
2026-09-05 11:50:01,30
2026-09-05 12:00:01,33
2026-09-05 12:10:01,33
2026-09-05 12:20:01,34
2026-09-05 12:30:01,32
2026-09-05 12:40:01,26
2026-09-05 12:50:01,25
2026-09-05 13:00:01,24
2026-09-05 13:10:01,24
2026-09-05 13:20:01,23
2026-09-05 13:30:01,24
2026-09-05 13:40:01,25
2026-09-05 13:50:01,23
2026-09-05 14:00:01,24
2026-09-05 14:10:01,24
2026-09-05 14:20:01,25
2026-09-05 14:30:01,22
2026-09-05 14:40:01,24
2026-09-05 14:50:01,28
2026-09-05 15:00:01,28
2026-09-05 15:10:01,28
2026-09-05 15:20:02,28
2026-09-05 15:30:01,28
2026-09-05 15:40:01,25
2026-09-05 15:50:01,24
2026-09-05 16:00:01,23
2026-09-05 16:10:01,22
2026-09-05 16:20:01,22
2026-09-05 16:30:01,24
2026-09-05 16:40:01,23
2026-09-05 16:50:01,25
2026-09-05 17:00:01,23
2026-09-05 17:10:01,25
2026-09-05 17:20:01,26
2026-09-05 17:30:01,27
2026-09-05 17:40:02,33
2026-09-05 17:50:01,32
2026-09-05 18:00:01,31
2026-09-05 18:10:01,33
2026-09-05 18:20:01,38
2026-09-05 18:30:01,35
2026-09-05 18:40:01,35
2026-09-05 18:50:01,32
2026-09-05 19:00:01,35
2026-09-05 19:10:01,35
2026-09-05 19:20:01,32
2026-09-05 19:30:01,33
2026-09-05 19:40:01,33
2026-09-05 19:50:01,30
2026-09-05 20:00:01,32
2026-09-05 20:10:01,32
2026-09-05 20:20:01,34
2026-09-05 20:30:01,30
2026-09-05 20:40:01,30
2026-09-05 20:50:01,28
2026-09-05 21:00:01,29
2026-09-05 21:10:01,25
2026-09-05 21:20:01,21
2026-09-05 21:30:02,19
2026-09-05 21:40:01,18
2026-09-05 21:50:01,15
