timestamp,load_percent
2026-07-08 06:00:01,0
2026-07-08 06:10:01,11
2026-07-08 06:20:01,12
2026-07-08 06:30:01,14
2026-07-08 06:40:01,16
2026-07-08 06:50:01,16
2026-07-08 07:00:01,16
2026-07-08 07:10:02,17
2026-07-08 07:20:01,17
2026-07-08 07:40:02,15
2026-07-08 07:50:01,13
2026-07-08 08:00:01,13
2026-07-08 08:10:01,14
2026-07-08 08:20:02,15
2026-07-08 08:30:01,15
2026-07-08 08:40:01,22
2026-07-08 08:50:01,21
2026-07-08 09:00:01,24
2026-07-08 09:10:01,24
2026-07-08 09:20:02,25
2026-07-08 09:30:01,29
2026-07-08 09:40:01,28
2026-07-08 09:50:01,30
2026-07-08 10:00:01,32
2026-07-08 10:10:02,33
2026-07-08 10:20:01,31
2026-07-08 10:30:01,30
2026-07-08 10:40:01,33
2026-07-08 11:10:01,31
2026-07-08 11:20:01,32
2026-07-08 11:30:01,34
2026-07-08 11:40:01,32
2026-07-08 17:40:01,49
2026-07-08 17:50:01,46
2026-07-08 18:00:01,48
2026-07-08 18:10:01,51
2026-07-08 18:20:02,55
2026-07-08 18:30:01,54
2026-07-08 18:40:01,58
2026-07-08 18:50:01,55
2026-07-08 19:00:01,56
2026-07-08 19:10:02,56
2026-07-08 19:20:02,60
2026-07-08 19:30:01,60
2026-07-08 19:40:01,55
2026-07-08 19:50:01,51
2026-07-08 20:00:01,50
2026-07-08 20:10:01,53
2026-07-08 20:20:01,49
2026-07-08 20:30:01,49
2026-07-08 20:40:01,48
2026-07-08 20:50:01,48
2026-07-08 21:00:01,44
2026-07-08 21:10:01,41
2026-07-08 21:20:01,39
2026-07-08 21:30:02,38
2026-07-08 21:40:01,36
2026-07-08 21:50:01,36
2026-07-08 22:00:01,39
2026-07-08 22:10:01,38
2026-07-08 22:20:01,36
2026-07-08 22:30:01,30
2026-07-08 22:40:01,33
2026-07-08 22:50:01,29
2026-07-08 23:00:01,25
2026-07-08 23:10:01,23
2026-07-08 23:20:01,22
2026-07-08 23:30:01,21
2026-07-08 23:40:01,20
2026-07-08 23:50:01,18
