timestamp,load_percent
2026-09-17 06:00:01,0
2026-09-17 06:10:01,9
2026-09-17 06:20:01,10
2026-09-17 06:30:02,11
2026-09-17 06:40:01,13
2026-09-17 06:50:01,14
2026-09-17 07:00:01,15
2026-09-17 07:10:01,15
2026-09-17 07:20:01,13
2026-09-17 07:30:01,11
2026-09-17 07:40:01,9
2026-09-17 07:50:01,8
2026-09-17 08:10:01,12
2026-09-17 08:20:01,13
2026-09-17 08:30:01,16
2026-09-17 08:40:02,16
2026-09-17 08:50:02,19
2026-09-17 09:00:01,20
2026-09-17 09:10:01,19
2026-09-17 09:20:01,20
2026-09-17 09:30:01,21
2026-09-17 09:40:01,23
2026-09-17 09:50:01,20
2026-09-17 10:00:01,23
2026-09-17 10:10:01,25
2026-09-17 10:20:01,26
2026-09-17 10:30:01,28
2026-09-17 10:40:02,25
2026-09-17 10:50:01,25
2026-09-17 11:00:01,21
2026-09-17 11:10:01,22
2026-09-17 11:20:01,22
2026-09-17 11:30:01,20
2026-09-17 11:40:01,18
2026-09-17 11:50:01,19
2026-09-17 12:00:01,19
2026-09-17 12:10:01,20
2026-09-17 12:20:01,20
2026-09-17 12:30:02,20
2026-09-17 12:40:01,18
2026-09-17 12:50:01,21
2026-09-17 13:00:01,25
2026-09-17 13:10:01,25
2026-09-17 13:20:01,26
2026-09-17 13:30:01,28
2026-09-17 13:40:01,29
2026-09-17 13:50:01,29
2026-09-17 14:00:01,30
2026-09-17 14:10:01,33
2026-09-17 14:20:01,30
2026-09-17 14:30:01,34
2026-09-17 14:40:01,32
2026-09-17 14:50:01,36
2026-09-17 15:00:01,40
2026-09-17 15:10:01,41
2026-09-17 15:20:01,40
2026-09-17 15:30:01,39
2026-09-17 15:40:01,45
2026-09-17 15:50:01,48
2026-09-17 16:00:01,47
2026-09-17 16:10:01,43
2026-09-17 16:20:01,43
2026-09-17 16:30:01,38
2026-09-17 16:40:02,38
2026-09-17 16:50:02,40
2026-09-17 17:00:01,40
2026-09-17 17:10:01,37
2026-09-17 17:20:01,35
2026-09-17 17:30:01,39
2026-09-17 17:40:01,45
2026-09-17 17:50:01,47
2026-09-17 18:00:01,44
2026-09-17 18:10:01,43
2026-09-17 18:20:01,45
2026-09-17 18:30:01,46
2026-09-17 18:40:01,48
2026-09-17 18:50:01,47
2026-09-17 19:00:01,41
2026-09-17 19:10:01,43
2026-09-17 19:20:01,41
2026-09-17 19:30:01,44
2026-09-17 19:40:02,48
2026-09-17 19:50:01,50
2026-09-17 20:00:01,53
2026-09-17 20:10:01,53
2026-09-17 20:20:01,56
2026-09-17 20:30:01,56
2026-09-17 20:40:01,50
2026-09-17 20:50:01,41
2026-09-17 21:00:01,38
2026-09-17 21:10:01,36
2026-09-17 21:20:01,30
2026-09-17 21:30:01,28
2026-09-17 21:40:01,28
2026-09-17 21:50:01,28
2026-09-17 22:00:01,28
2026-09-17 22:10:01,25
2026-09-17 22:20:01,26
2026-09-17 22:30:01,25
2026-09-17 22:40:01,26
2026-09-17 22:50:01,25
2026-09-17 23:00:01,23
2026-09-17 23:10:01,21
2026-09-17 23:20:01,21
2026-09-17 23:30:02,18
2026-09-17 23:40:01,16
2026-09-17 23:50:01,16
