timestamp,load_percent
2026-05-26 06:00:01,0
2026-05-26 06:10:01,11
2026-05-26 06:20:01,11
2026-05-26 06:30:01,14
2026-05-26 06:40:01,15
2026-05-26 06:50:01,16
2026-05-26 07:00:01,17
2026-05-26 07:10:01,18
2026-05-26 07:20:01,16
2026-05-26 07:30:02,16
2026-05-26 07:40:01,16
2026-05-26 07:50:01,15
2026-05-26 08:00:01,15
2026-05-26 08:10:02,14
2026-05-26 08:20:01,15
2026-05-26 08:30:01,15
2026-05-26 08:40:01,15
2026-05-26 08:50:01,15
2026-05-26 09:00:01,17
2026-05-26 09:10:01,17
2026-05-26 09:20:01,19
2026-05-26 09:30:01,19
2026-05-26 09:40:01,23
2026-05-26 09:50:01,25
2026-05-26 10:00:01,25
2026-05-26 10:10:01,28
2026-05-26 10:20:01,30
2026-05-26 10:30:01,26
2026-05-26 10:40:01,30
2026-05-26 10:50:01,25
2026-05-26 11:00:01,28
2026-05-26 11:10:01,27
2026-05-26 11:20:01,28
2026-05-26 11:30:01,31
2026-05-26 11:40:01,26
2026-05-26 11:50:01,26
2026-05-26 12:00:01,26
2026-05-26 12:10:01,30
2026-05-26 12:20:01,25
2026-05-26 12:30:01,26
2026-05-26 12:40:02,28
2026-05-26 12:50:01,26
2026-05-26 13:00:01,23
2026-05-26 13:10:01,21
2026-05-26 13:20:01,21
2026-05-26 13:30:01,23
2026-05-26 13:40:01,22
2026-05-26 13:50:01,21
2026-05-26 14:00:02,21
2026-05-26 14:10:01,28
2026-05-26 14:20:01,30
2026-05-26 14:30:01,30
2026-05-26 14:40:02,28
2026-05-26 14:50:01,31
2026-05-26 15:00:01,28
2026-05-26 15:10:01,31
2026-05-26 15:20:01,32
2026-05-26 15:30:01,31
2026-05-26 15:40:01,35
2026-05-26 15:50:01,35
2026-05-26 16:00:01,35
2026-05-26 16:10:01,35
2026-05-26 16:20:01,32
2026-05-26 16:30:01,31
2026-05-26 16:40:02,35
2026-05-26 16:50:01,33
2026-05-26 17:00:01,34
2026-05-26 17:10:01,33
2026-05-26 17:20:01,34
2026-05-26 17:30:01,40
2026-05-26 17:40:01,33
2026-05-26 17:50:01,41
2026-05-26 18:00:01,41
2026-05-26 18:10:01,41
2026-05-26 18:20:02,44
2026-05-26 18:30:01,41
2026-05-26 18:40:01,44
2026-05-26 18:50:01,44
2026-05-26 19:00:01,48
2026-05-26 19:10:02,46
2026-05-26 19:20:01,49
2026-05-26 19:30:01,46
2026-05-26 19:40:01,45
2026-05-26 19:50:01,44
2026-05-26 20:00:01,41
2026-05-26 20:10:01,40
2026-05-26 20:20:01,38
2026-05-26 20:30:01,38
2026-05-26 20:40:01,36
2026-05-26 20:50:01,35
2026-05-26 21:00:01,31
2026-05-26 21:10:01,30
2026-05-26 21:20:01,28
2026-05-26 21:30:01,28
2026-05-26 21:40:01,25
2026-05-26 21:50:01,23
2026-05-26 22:00:01,25
2026-05-26 22:10:01,26
2026-05-26 22:20:01,24
